title,original_abstract,generated_abstract,original_id,created,categories
"Summarize and Search: Learning Consensus-aware Dynamic Convolution for
  Co-Saliency Detection","Humans perform co-saliency detection by first summarizing the consensus
knowledge in the whole group and then searching corresponding objects in each
image. Previous methods usually lack robustness, scalability, or stability for
the first process and simply fuse consensus features with image features for
the second process. In this paper, we propose a novel consensus-aware dynamic
convolution model to explicitly and effectively perform the ""summarize and
search"" process. To summarize consensus image features, we first summarize
robust features for every single image using an effective pooling method and
then aggregate cross-image consensus cues via the self-attention mechanism. By
doing this, our model meets the scalability and stability requirements. Next,
we generate dynamic kernels from consensus features to encode the summarized
consensus knowledge. Two kinds of kernels are generated in a supplementary way
to summarize fine-grained image-specific consensus object cues and the coarse
group-wise common knowledge, respectively. Then, we can effectively perform
object searching by employing dynamic convolution at multiple scales. Besides,
a novel and effective data synthesis method is also proposed to train our
network. Experimental results on four benchmark datasets verify the
effectiveness of our proposed method. Our code and saliency maps are available
at \url{https://github.com/nnizhang/CADC}.","Title: Learning Consensus-Aware Dynamic Convolution for Co-Saliency Detection: A Summarize and Search Approach

Rewritten Abstract: The human ability to detect co-saliency involves summarizing consensus knowledge within a group, followed by identifying corresponding objects within each image. Existing techniques often lack robustness, scalability, or consistency in the initial phase, and typically merge consensus features with image features within the second phase. This study introduces a unique consensus-aware dynamic convolution model, designed to efficiently and distinctly execute the 'summarize and search' process. In order to summarize consensus image features, we initially collate robust features for each individual image through an efficient pooling method, and subsequently amalgamate cross-image consensus indications through the self-attention mechanism. This ensures our model satisfies the scalability and stability prerequisites. Subsequently, we create dynamic kernels from consensus features to encapsulate the summarized consensus knowledge. We generate two types of kernels in a complementary fashion to summarize detailed image-specific consensus object indications and the broad group-wide common knowledge. Consequently, we can efficiently conduct object searching through the use of dynamic convolution across various scales. Additionally, we propose a new and efficient data synthesis technique to train our network. Experiments conducted on four benchmark datasets confirm the efficacy of our proposed technique. Our code and saliency maps can be accessed at \url{https://github.com/nnizhang/CADC}.",oai:arXiv.org:2110.00338,2021-10-01,['cs.CV']
"H-FL: A Hierarchical Communication-Efficient and Privacy-Protected
  Architecture for Federated Learning","The longstanding goals of federated learning (FL) require rigorous privacy
guarantees and low communication overhead while holding a relatively high model
accuracy. However, simultaneously achieving all the goals is extremely
challenging. In this paper, we propose a novel framework called hierarchical
federated learning (H-FL) to tackle this challenge. Considering the degradation
of the model performance due to the statistic heterogeneity of the training
data, we devise a runtime distribution reconstruction strategy, which
reallocates the clients appropriately and utilizes mediators to rearrange the
local training of the clients. In addition, we design a compression-correction
mechanism incorporated into H-FL to reduce the communication overhead while not
sacrificing the model performance. To further provide privacy guarantees, we
introduce differential privacy while performing local training, which injects
moderate amount of noise into only part of the complete model. Experimental
results show that our H-FL framework achieves the state-of-art performance on
different datasets for the real-world image recognition tasks.","Title: H-FL: An Advanced, Hierarchical Structure for Efficient, Privacy-Safe Federated Learning

Revised Abstract: The consistent objectives of federated learning (FL) necessitate robust privacy protection, reduced communication overhead, and reasonably high model precision. Nonetheless, fulfilling these objectives concurrently presents a significant challenge. This study introduces a novel hierarchical federated learning (H-FL) framework designed to address this issue. Given the performance decline in the model due to statistical heterogeneity in the training data, we have developed a runtime distribution reconstruction method. This method strategically reallocates clients and employs mediators to reorganize the local training of clients. Moreover, we integrate a compression-correction mechanism within the H-FL framework to lower the communication overhead without compromising the performance of the model. We also incorporate differential privacy into the local training process to ensure privacy protection, by injecting a controlled level of noise into only a segment of the comprehensive model. Experimental outcomes demonstrate that our H-FL framework achieves unparalleled performance across various datasets for practical image recognition tasks.",oai:arXiv.org:2106.00275,2021-06-01,"['cs.LG', 'cs.CR', 'cs.DC']"
Online Fashion Commerce: Modelling Customer Promise Date,"In the e-commerce space, accurate prediction of delivery dates plays a major
role in customer experience as well as in optimizing the supply chain
operations. Predicting a date later than the actual delivery date might
sometimes result in the customer not placing the order (lost sales) while
promising a date earlier than the actual delivery date would lead to a bad
customer experience and consequent customer churn. In this paper, we present a
machine learning-based approach for penalizing incorrect predictions
differently using non-conventional loss functions, while working under various
uncertainties involved in making successful deliveries such as traffic
disruptions, weather conditions, supply chain, and logistics. We examine
statistical, deep learning, and conventional machine learning approaches, and
we propose an approach that outperformed the pre-existing rule-based models.
The proposed model is deployed internally for Fashion e-Commerce and is
operational.","Title: Digital Fashion Trade: Predicting Client Delivery Dates

Revamped Abstract: In the domain of online commerce, an essential factor influencing customer satisfaction and supply chain management efficacy is the precise forecast of delivery dates. Overestimating the delivery date may discourage a customer from completing an order, leading to lost sales. Conversely, underestimating the delivery date can result in poor customer experience, thereby increasing customer attrition rates. This research introduces a machine learning strategy that applies unconventional loss functions to penalize inaccurate predictions, taking into consideration the uncertainties inherent in successful deliveries, such as logistical issues, supply chain disruptions, adverse weather, and traffic congestion. We scrutinize statistical, conventional machine learning, and deep learning methodologies, putting forth a strategy that surpasses the existing rule-based models. The proposed model has been implemented internally for digital fashion commerce and is currently in operation.",oai:arXiv.org:2105.00315,2021-05-01,['cs.LG']
"Quantum crypto-economics: Blockchain prediction markets for the
  evolution of quantum technology","Two of the most important technological advancements currently underway are
the advent of quantum technologies, and the transitioning of global financial
systems towards cryptographic assets, notably blockchain-based cryptocurrencies
and smart contracts. There is, however, an important interplay between the two,
given that, in due course, quantum technology will have the ability to directly
compromise the cryptographic foundations of blockchain. We explore this complex
interplay by building financial models for quantum failure in various
scenarios, including pricing quantum risk premiums. We call this quantum
crypto-economics.","Title: Quantum Cryptoeconomic Interactions: The Implication of Blockchain Predictive Marketplaces on Quantum Technology Progression.

Revised Abstract: The ongoing development of quantum technologies and the gradual shift of global financial structures towards cryptographic assets, particularly blockchain-driven cryptocurrencies and smart contracts, are among the most significant current technological trends. However, a crucial interaction exists between these two domains, as quantum technology will eventually possess the capacity to undermine the cryptographic underpinnings of the blockchain. This paper delves into this intricate interaction, creating financial models that forecast quantum failure under different conditions, inclusive of the calculation of quantum risk premiums. We refer to this study as quantum cryptoeconomics.",oai:arXiv.org:2102.00659,2021-02-01,"['q-fin.PR', 'quant-ph']"
"Fool Me Once: Robust Selective Segmentation via Out-of-Distribution
  Detection with Contrastive Learning","In this work, we train a network to simultaneously perform segmentation and
pixel-wise Out-of-Distribution (OoD) detection, such that the segmentation of
unknown regions of scenes can be rejected. This is made possible by leveraging
an OoD dataset with a novel contrastive objective and data augmentation scheme.
By combining data including unknown classes in the training data, a more robust
feature representation can be learned with known classes represented distinctly
from those unknown. When presented with unknown classes or conditions, many
current approaches for segmentation frequently exhibit high confidence in their
inaccurate segmentations and cannot be trusted in many operational
environments. We validate our system on a real-world dataset of unusual driving
scenes, and show that by selectively segmenting scenes based on what is
predicted as OoD, we can increase the segmentation accuracy by an IoU of 0.2
with respect to alternative techniques.","Title: Duped No More: Sturdy Selective Segmentation through Out-of-Distribution Detection Using Contrastive Learning 

Revised Abstract: This research concentrates on the training of a network to concurrently conduct segmentation and pixel-wise Out-of-Distribution (OoD) detection, facilitating the rejection of segmentation in unknown scene areas. The accomplishment of this task is driven by the use of an OoD dataset, a groundbreaking contrastive objective, and a data augmentation scheme. By integrating data with unknown classes into the training data, a more resilient feature representation can be developed, with known classes distinctly differentiated from unknown ones. Current segmentation methods often display overconfidence in their erroneous segmentations when encountering unknown classes or conditions, rendering them unreliable in many operational contexts. We evaluate our model using an authentic dataset of abnormal driving situations, demonstrating that selective scene segmentation, based on OoD prediction, can enhance segmentation precision by an Intersection over Union (IoU) of 0.2 compared to alternative methods.",oai:arXiv.org:2103.00869,2021-03-01,"['cs.CV', 'cs.RO']"
"JAS-GAN: Generative Adversarial Network Based Joint Atrium and Scar
  Segmentations on Unbalanced Atrial Targets","Automated and accurate segmentations of left atrium (LA) and atrial scars
from late gadolinium-enhanced cardiac magnetic resonance (LGE CMR) images are
in high demand for quantifying atrial scars. The previous quantification of
atrial scars relies on a two-phase segmentation for LA and atrial scars due to
their large volume difference (unbalanced atrial targets). In this paper, we
propose an inter-cascade generative adversarial network, namely JAS-GAN, to
segment the unbalanced atrial targets from LGE CMR images automatically and
accurately in an end-to-end way. Firstly, JAS-GAN investigates an adaptive
attention cascade to automatically correlate the segmentation tasks of the
unbalanced atrial targets. The adaptive attention cascade mainly models the
inclusion relationship of the two unbalanced atrial targets, where the
estimated LA acts as the attention map to adaptively focus on the small atrial
scars roughly. Then, an adversarial regularization is applied to the
segmentation tasks of the unbalanced atrial targets for making a consistent
optimization. It mainly forces the estimated joint distribution of LA and
atrial scars to match the real ones. We evaluated the performance of our
JAS-GAN on a 3D LGE CMR dataset with 192 scans. Compared with the
state-of-the-art methods, our proposed approach yielded better segmentation
performance (Average Dice Similarity Coefficient (DSC) values of 0.946 and
0.821 for LA and atrial scars, respectively), which indicated the effectiveness
of our proposed approach for segmenting unbalanced atrial targets.","Title: JAS-GAN: An Advanced Generative Adversarial Network for Simultaneous Segmentation of Atrium and Scars on Unbalanced Atrial Targets 

Generated Abstract: The necessity for automated and precise segmentations of the left atrium (LA) and atrial scars from late gadolinium-enhanced cardiac magnetic resonance (LGE CMR) images for the purpose of atrial scar quantification is burgeoning. Prior methods for atrial scar quantification were reliant on a two-phase segmentation process for LA and atrial scars, due to the significant volume disparity, or unbalanced atrial targets. This study introduces JAS-GAN, an advanced inter-cascade generative adversarial network designed to segment unbalanced atrial targets from LGE CMR images in an automatic and accurate, end-to-end manner. The JAS-GAN incorporates an adaptive attention cascade to autonomously correlate the segmentation tasks of the unbalanced atrial targets, specifically modeling the inclusion relationship between the two unbalanced atrial targets, with the predicted LA serving as the attention map to adaptively focus on the smaller atrial scars. Adversarial regularization is subsequently applied to these segmentation tasks to achieve consistent optimization, compelling the predicted joint distribution of LA and atrial scars to align with the actual ones. Our JAS-GAN was assessed on a 3D LGE CMR dataset containing 192 scans. The results demonstrated superior segmentation performance in comparison to existing techniques, with Average Dice Similarity Coefficient (DSC) values of 0.946 and 0.821 for LA and atrial scars, respectively, thus validating the effectiveness of our approach in segmenting unbalanced atrial targets.",oai:arXiv.org:2105.00234,2021-05-01,"['eess.IV', 'cs.CV']"
"Researching of magnetic cutoff for local sources of charged particles in
  the halo of the Galaxy","Models of highly inhomogeneous baryosynthesis of the baryonic asymmetric
Universe allow for the existence of macroscopic domains of antimatter, which
could evolve in a globular cluster of antimatter stars in our Galaxy. We assume
the symmetry of the evolution of a globular cluster of stars and antistars
based on the symmetry of the properties of matter and antimatter. Such object
can be a source of a fraction of antihelium nuclei in galactic cosmic rays. It
makes possible to predict the expected fluxes of cosmic antinuclei with use of
known properties of matter star globular clusters We have estimated the lower
cutoff energy for the penetration of antinuclei from the antimatter globular
cluster, situated in halo, into the galactic disk based on the simulation of
particle motion in the large-scale structure of magnetic fields in the Galaxy.
We have estimated the magnitude of the magnetic cutoff for the globular cluster
M4.","Title: Investigation into Magnetic Cutoffs for Local Sources of Charged Particles in the Galactic Halo

Revised Abstract: The highly irregular models of baryosynthesis of the asymmetric baryonic Universe suggest the potential existence of large antimatter domains. These could potentially transform into a globular cluster of antimatter stars within our own Galaxy. We hypothesize a symmetrical evolution of a globular cluster of stars and antistars, reflecting the symmetrical properties of matter and antimatter. Such an entity could contribute to a percentage of antihelium nuclei in galactic cosmic rays, enabling the prediction of cosmic antinuclei fluxes by utilizing the known properties of matter star globular clusters. We have calculated the minimum energy cutoff required for antinuclei to penetrate from the antimatter globular cluster located in the halo into the galactic disk. This is based on simulations of particle movement within the Galaxy's large-scale magnetic field structure. Furthermore, we have determined the magnetic cutoff's extent for the globular cluster M4.",oai:arXiv.org:2112.00361,2021-12-01,"['astro-ph.HE', 'astro-ph.CO']"
"More Behind Your Electricity Bill: a Dual-DNN Approach to Non-Intrusive
  Load Monitoring","Non-intrusive load monitoring (NILM) is a well-known single-channel blind
source separation problem that aims to decompose the household energy
consumption into itemised energy usage of individual appliances. In this way,
considerable energy savings could be achieved by enhancing household's
awareness of energy usage. Recent investigations have shown that deep neural
networks (DNNs) based approaches are promising for the NILM task. Nevertheless,
they normally ignore the inherent properties of appliance operations in the
network design, potentially leading to implausible results. We are thus
motivated to develop the dual Deep Neural Networks (dual-DNN), which aims to i)
take advantage of DNNs' learning capability of latent features and ii) empower
the DNN architecture with identification ability of universal properties.
Specifically in the design of dual-DNN, we adopt one subnetwork to measure
power ratings of different appliances' operation states, and the other
subnetwork to identify the running states of target appliances. The final
result is then obtained by multiplying these two network outputs and meanwhile
considering the multi-state property of household appliances. To enforce the
sparsity property in appliance's state operating, we employ median filtering
and hard gating mechanisms to the subnetwork for state identification. Compared
with the state-of-the-art NILM methods, our dual-DNN approach demonstrates a
21.67% performance improvement in average on two public benchmark datasets.","Title: Unveiling the Hidden Components of Your Electricity Bill: Implementing a Dual-Deep Neural Network Methodology for Non-Invasive Load Monitoring

Rewritten Abstract: Non-invasive load monitoring (NILM) is a recognized method for resolving the single-channel blind source separation issue by partitioning the overall energy usage of a home into the individual energy consumption of each appliance. This practice can potentially lead to significant energy conservation by increasing household knowledge of energy usage. Recent research indicates that deep neural network (DNN) based strategies show potential in addressing NILM tasks. However, these strategies often overlook the inherent characteristics of appliance operation in their network design, which could potentially lead to unreliable results. Consequently, we have been motivated to innovate the dual deep neural networks (dual-DNN) to exploit the DNNs' latent feature learning capacity and to equip the DNN structure with the ability to identify universal properties. In the development of the dual-DNN, we utilize one subnetwork to evaluate the power ratings of various appliance operation states, and a different subnetwork to discern the operational states of the appliances in question. The final outcome is calculated by multiplying the outputs of these two networks and simultaneously accounting for the multi-state nature of household appliances. To enforce the sparsity property in the operation state of an appliance, we incorporate median filtering and hard gating mechanisms into the state identification subnetwork. Our dual-DNN methodology, when compared with leading NILM techniques, exhibits an average performance enhancement of 21.67% on two publicly available benchmark datasets.",oai:arXiv.org:2106.00297,2021-06-01,"['cs.LG', 'cs.AI']"
"Unconventional satellite resistance peaks in moir\'e superlattice of
  h-BN/ AB-stacked tetralayer-graphene heterostructure","Most studies on moir\'e superlattices formed from a stack of h-BN and
graphene have focused on single layer graphene; graphene with multiple layers
is less understood. Here, we show that a moir\'e superlattice of multilayer
graphene shows new features arising from the anisotropic Fermi surface affected
by the superlattice structure. The moir\'e superlattice of a h-BN/AB-stacked
tetralayer graphene heterostructure exhibited resistivity peaks showing a
complicated dependence on the perpendicular electric field. The peaks were not
due to secondary Dirac cones forming, but rather opening of the energy gap due
to folding of the anisotropic Fermi surface. In addition, superlattice peaks
resulted from mixing of light- and heavy-mass bilayer-like bands via the
superlattice potential. The gaps did not open on the boundary of the
superlattice Brillouin zone, but rather opened inside it, which reflected the
anisotropy of the Fermi surface of multilayer graphene.","Title: Novel Satellite Resistance Peaks in h-BN/ AB-stacked Tetralayer-Graphene Heterostructure's Moiré Superlattice

Alternative Abstract: The exploration of moiré superlattices formed from the combination of h-BN and graphene has predominantly been centered on single layer graphene, leaving multilayer graphene somewhat unexamined. This study demonstrates new properties exhibited by a multilayer graphene's moiré superlattice, which are a result of the anisotropic Fermi surface being influenced by the superlattice structure. The h-BN/AB-stacked tetralayer graphene heterostructure's moiré superlattice displayed resistivity peaks that exhibited a complex relationship with the orthogonal electric field. These peaks did not originate from the formation of secondary Dirac cones, but were instead due to the opening of the energy gap caused by folding of the anisotropic Fermi surface. Furthermore, the superlattice peaks were a consequence of the intermingling of light- and heavy-mass bilayer-like bands via the superlattice potential. The energy gaps did not form on the periphery of the superlattice Brillouin zone, but rather within it, which mirrors the anisotropy of the Fermi surface of multilayer graphene.",oai:arXiv.org:2104.00261,2021-04-01,"['cond-mat.mes-hall', 'cond-mat.mtrl-sci', 'cond-mat.soft']"
"Characterizing and Detecting Configuration Compatibility Issues in
  Android Apps","XML configuration files are widely used in Android to define an app's user
interface and essential runtime information such as system permissions. As
Android evolves, it might introduce functional changes in the configuration
environment, thus causing compatibility issues that manifest as inconsistent
app behaviors at different API levels. Such issues can often induce software
crashes and inconsistent look-and-feel when running at specific Android
versions. Existing works incur plenty of false positive and false negative
issue-detection rules by conducting trivial data-flow analysis while failing to
model the XML tree hierarchies of the Android configuration files. Besides,
little is known about how the changes in an Android framework can induce such
compatibility issues. To bridge such gaps, we conducted a systematic study by
analyzing 196 real-world issues collected from 43 popular apps. We identified
common patterns of Android framework code changes that induce such
\textsc{ConfDroid} that can automatically extract rules for detecting
configuration compatibility issues. The intuition is to perform symbolic
execution based on a model learned from the common code change patterns.
Experiment results show that ConfDroid can successfully extract 282 valid
issue-detection rules with a precision of 91.9%. Among them, 65 extracted rules
can manifest issues that cannot be detected by the rules of state-of-the-art
baselines. More importantly, 11 out of them have led to the detection of 107
reproducible configuration compatibility issues that the baselines cannot
detect in 30 out of 316 real-world Android apps.","Title: Identifying and Resolving Configuration Compatibility Challenges in Android Applications

Revised Abstract: Android applications extensively utilize XML configuration files to establish the user interface and vital runtime parameters, including system permissions. With the advancement of Android, functional alterations in the configuration setting may be introduced, leading to compatibility problems that result in incongruous application functionalities at varying API levels. These issues often result in software crashes and inconsistent user experiences across different Android versions. Current research presents a high number of false positives and negatives in issue detection owing to insufficient data flow analysis and an inability to accurately represent the XML tree hierarchies in Android configuration files. Additionally, there is a dearth of knowledge regarding how modifications in the Android framework can lead to these compatibility problems. To address these gaps, we undertook a comprehensive study, analyzing 196 real-world issues from 43 widely-used applications. We discerned recurring patterns in Android framework code modifications that contribute to these configuration compatibility issues. Based on these findings, we developed ConfDroid, an innovative system that can autonomously derive rules for identifying configuration compatibility problems. The primary approach is to perform symbolic execution based on a model derived from common code modification patterns. Experimental outcomes indicate that ConfDroid can successfully generate 282 reliable issue detection rules with a precision rate of 91.9%. Of these, 65 rules can identify issues not detectable by existing state-of-the-art baseline rules. Most notably, 11 of these rules have led to the identification of 107 reproducible configuration compatibility issues in 30 out of 316 real-world Android applications, which were previously undetectable by the baseline methods.",oai:arXiv.org:2109.00300,2021-09-01,['cs.SE']
